City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nampula,-15.1165,39.2666,300.42,41,3,5.06,MZ,1696180117
83,eastham,41.8301,-69.9739,292.56,71,4,5.81,US,1696180117
84,sao joao de pirabas,-0.7747,-47.1772,303.01,65,33,6.16,BR,1696180117
85,yellowknife,62.456,-114.3525,281.16,89,75,7.2,CA,1696180118
86,hit,33.6416,42.8251,302.55,27,74,3.5,IQ,1696180118
87,inirida,3.8653,-67.9239,308.08,47,99,1.54,CO,1696180118
88,port blair,11.6667,92.75,300.13,85,96,5.82,IN,1696180118
89,east london,-33.0153,27.9116,289.94,59,81,4.09,ZA,1696180118
90,uturoa,-16.7333,-151.4333,299.01,79,57,9.36,PF,1696180119
91,blackmans bay,-43.0167,147.3167,280.11,86,6,2.72,AU,1696180119
92,hawaiian paradise park,19.5933,-154.9731,295.88,95,40,1.54,US,1696180119
93,aral,40.5156,81.2636,294.36,19,6,2.62,CN,1696179919
94,aykhal,66.0,111.5,274.86,94,100,5.36,RU,1696180119
95,salahonda,2.1019,-78.7217,300.15,81,94,7.54,CO,1696180120
96,alice springs,-23.7,133.8833,301.9,17,84,4.63,AU,1696180120
97,talnakh,69.4865,88.3972,260.77,91,10,2.35,RU,1696180120
98,pedernales,18.0384,-71.744,303.32,73,97,3.28,DO,1696180120
99,vorgashor,67.5833,63.95,281.14,98,100,6.67,RU,1696180120
100,la sarre,48.8002,-79.1996,294.76,54,41,0.32,CA,1696180121
101,st. john's,47.5649,-52.7093,293.3,61,75,5.66,CA,1696179905
102,eyl,7.9803,49.8164,300.26,76,59,10.65,SO,1696180121
103,mont-dore,-22.2833,166.5833,290.14,67,93,4.56,NC,1696180121
104,quepos,9.4236,-84.1652,303.0,72,92,1.95,CR,1696180121
105,ko pha ngan,9.7578,100.0291,299.06,75,76,7.13,TH,1696180122
106,villa regina,-39.1,-67.0667,298.3,20,100,5.04,AR,1696180122
107,enewetak,11.3474,162.3373,302.14,75,93,6.4,MH,1696180122
108,port-vila,-17.7338,168.3219,292.93,88,100,3.09,VU,1696180122
109,qaqortoq,60.7167,-46.0333,276.41,78,99,2.17,GL,1696180122
110,alofi,-19.0595,-169.9187,295.5,71,99,10.44,NU,1696180123
111,xilin hot,43.9667,116.0333,281.73,40,0,3.06,CN,1696179922
112,weno,7.4515,151.8468,301.12,83,75,2.57,FM,1696180123
113,jining,35.405,116.5814,291.51,56,100,2.63,CN,1696180123
114,antipino,57.1068,65.7576,283.45,86,2,2.83,RU,1696180123
115,puerto baquerizo moreno,-0.9,-89.6,299.7,74,75,7.72,EC,1696180124
116,partenit,44.578,34.3446,293.2,64,94,2.91,UA,1696180124
117,khandyga,62.6667,135.6,276.33,72,99,0.69,RU,1696180124
